STATUS | wrapper  | 2016/08/26 15:55:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/08/26 15:55:56 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/08/26 15:55:56 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/08/26 15:55:56 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/08/26 15:55:56 | 
STATUS | wrapper  | 2016/08/26 15:55:58 | Launching a JVM...
INFO   | wrapper  | 2016/08/26 15:55:58 | Java Command Line:
INFO   | wrapper  | 2016/08/26 15:55:58 |   Command: "C:\ProgramData\Oracle\Java\javapath\java.exe" -Djava.library.path="../lib" -classpath "../lib/wrapper.jar;../lib/classes" -Dwrapper.key="IYBdYV2oiG694lkU" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=1144 -Dwrapper.version="3.5.29" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=1 org.tanukisoftware.wrapper.WrapperSimpleApp HelloWorldServer
INFO   | jvm 1    | 2016/08/26 15:55:58 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/08/26 15:55:59 | Accepting connections on port: 9000
INFO   | jvm 1    | 2016/08/26 15:56:06 | 1 Connected.
INFO   | jvm 1    | 2016/08/26 15:56:07 | 1 Read: ha
INFO   | jvm 1    | 2016/08/26 15:56:07 | 1 Write: echo ha
INFO   | jvm 1    | 2016/08/26 15:56:08 | 1 Read: 
INFO   | jvm 1    | 2016/08/26 15:56:08 | 1 Write: echo 
INFO   | jvm 1    | 2016/08/26 15:56:10 | 1 Read: go
INFO   | jvm 1    | 2016/08/26 15:56:10 | 1 Write: echo go
INFO   | jvm 1    | 2016/08/26 15:56:13 | 1 Read: crash
INFO   | jvm 1    | 2016/08/26 15:56:13 | 1 Simulating a crash of the Server...
ERROR  | wrapper  | 2016/08/26 15:56:13 | JVM exited unexpectedly.
STATUS | wrapper  | 2016/08/26 15:56:18 | Launching a JVM...
INFO   | wrapper  | 2016/08/26 15:56:18 | Java Command Line:
INFO   | wrapper  | 2016/08/26 15:56:18 |   Command: "C:\ProgramData\Oracle\Java\javapath\java.exe" -Djava.library.path="../lib" -classpath "../lib/wrapper.jar;../lib/classes" -Dwrapper.key="baQDPaPMIWyiklxU" -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=1144 -Dwrapper.version="3.5.29" -Dwrapper.native_library="wrapper" -Dwrapper.arch="x86" -Dwrapper.cpu.timeout="10" -Dwrapper.jvmid=2 org.tanukisoftware.wrapper.WrapperSimpleApp HelloWorldServer
INFO   | jvm 2    | 2016/08/26 15:56:18 | WrapperManager: Initializing...
INFO   | jvm 2    | 2016/08/26 15:56:18 | Accepting connections on port: 9000
